"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-01","0.00",",,m",,,,,"91",",,m","54",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-02","0.00",",,m",,,,,"89",",,m","54",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-03","0.00",",,m",,,,,"83",",,m","54",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-04","0.00",",,m",,,,,"90",",,m","59",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-05","0.00",",,m",,,,,"88",",,m","58",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-06","0.00",",,m",,,,,"90",",,m","59",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-07","0.00",",,m",,,,,"78",",,m","66",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-08","0.00",",,m",,,,,"80",",,m","68",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-09","0.00",",,m",,,,,"82",",,m","59",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-10","0.00",",,m",,,,,"86",",,m","60",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-11","0.00",",,m",,,,,"75",",,m","58",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-12","0.00",",,m",,,,,"62",",S,m","59",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-13","0.00",",,m",,,,,"91",",,m","59",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-14","0.00",",,m",,,,,"87",",,m","54",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-15","0.00",",,m",,,,,"91",",,m","55",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-16","0.00",",,m",,,,,"88",",,m","62",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-17","0.00",",,m",,,,,"84",",,m","54",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-18","0.00",",,m",,,,,"81",",,m","53",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-19","0.00",",,m",,,,,"71",",,m","53",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-20","0.00",",,m",,,,,"74",",,m","59",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-21","0.00",",,m",,,,,"77",",,m","55",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-22","0.00",",,m",,,,,"76",",,m","48",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-23","0.00",",,m",,,,,"77",",,m","50",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-24","0.00",",,m",,,,,"80",",,m","48",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-25","0.00",",,m",,,,,"81",",,m","48",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-26","0.00",",,m",,,,,"84",",,m","50",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-27","0.00",",,m",,,,,"77",",,m","50",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-28","0.00",",,m",,,,,"77",",,m","50",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-29","0.00",",,m",,,,,"79",",,m","58",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-30","0.00",",,m",,,,,"68",",,m","55",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-01-31","0.00",",,m",,,,,"77",",,m","41",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-01","0.00",",,m",,,,,"86",",,m","41",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-02","0.00",",,m",,,,,"82",",,m","41",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-03","0.00",",,m",,,,,"82",",,m","44",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-04","0.00",",,m",,,,,"71",",,m","44",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-05","0.00",",,m",,,,,"89",",,m","43",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-06","0.00",",,m",,,,,"76",",,m","43",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-07","0.00",",,m",,,,,"75",",,m","48",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-08","0.00",",,m",,,,,"59",",,m","50",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-09","0.00",",,m",,,,,"74",",,m","47",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-10","0.00",",,m",,,,,"86",",,m","51",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-11","0.00",",,m",,,,,"86",",,m","42",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-12","0.00",",,m",,,,,"86",",,m","48",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-13","0.00",",,m",,,,,"64",",,m","50",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-14","0.00",",,m",,,,,"73",",,m","50",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-15","0.00",",,m",,,,,"89",",,m","41",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-16","0.00",",,m",,,,,"77",",,m","41",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-17","0.00",",,m",,,,,"89",",,m","45",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-18","0.00",",,m",,,,,"67",",,m","48",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-19","0.00",",,m",,,,,"73",",,m","50",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-20","0.00",",,m",,,,,"83",",,m","46",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-21","0.00",",,m",,,,,"92",",,m","48",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-22","0.00",",,m",,,,,"87",",,m","55",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-23","0.00",",,m",,,,,"56",",S,m","51",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-24","0.00",",,m",,,,,"58",",S,m","51",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-25","0.00",",,m",,,,,"57",",,m","52",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-26","0.00",",,m",,,,,"60",",,m","52",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-27","0.00",",,m",,,,,"62",",,m","51",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-28","0.00",",,m",,,,,"73",",,m","54",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-02-29","0.00",",,m",,,,,"89",",,m","51",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-01","0.00",",,m",,,,,"92",",,m","59",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-02","0.00",",,m",,,,,"100",",,m","58",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-03","0.00",",,m",,,,,"91",",,m","60",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-04","0.00",",,m",,,,,"85",",,m","66",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-05","0.00",",,m",,,,,"81",",,m","61",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-06","0.00",",,m",,,,,"83",",,m","56",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-07","0.00",",,m",,,,,"88",",,m","56",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-08","0.00",",,m",,,,,"86",",,m","55",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-09","0.00",",,m",,,,,"97",",,m","51",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-10","0.00",",,m",,,,,"99",",,m","52",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-11","0.00",",,m",,,,,"100",",,m","53",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-12","0.00",",,m",,,,,"90",",,m","56",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-13","0.00",",,m",,,,,"95",",,m","66",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-14","0.00",",,m",,,,,"99",",,m","59",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-15","0.00",",,m",,,,,"97",",,m","60",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-16","0.00",",,m",,,,,"99",",,m","57",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-17","0.00",",,m",,,,,"97",",,m","56",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-18","0.00",",,m",,,,,"78",",,m","60",",,m"
"MXN00007202","TUXTLA GUTIERREZ DGE, MX","16.75","-93.1167","542.8","1960-03-19","0.00",",,m",,,,,"75",",,m","59",",,m"
